codmunicipio,valor,beneficiarios,ano,mes
1100015,4445400,6513,2020,4
1100015,5403600,7763,2020,5
1100015,3410400,4937,2020,6
1100015,5597400,8265,2020,7
1100015,4995600,7363,2020,8
1100015,4652776,8551,2020,9
1100015,3069212,7821,2020,10
1100015,3993612,8229,2020,11
1100015,3649839,8111,2020,12
1100015,25500,25,2021,1
1100379,1951800,2890,2020,4
1100379,2437800,3496,2020,5
1100379,1615800,2387,2020,6
1100379,2539200,3764,2020,7
1100379,2373600,3512,2020,8
1100379,2101071,3968,2020,9
1100379,1429405,3624,2020,10
1100379,1826967,3822,2020,11
1100379,1670317,3770,2020,12
1100379,11400,12,2021,1
1100403,3441000,5040,2020,4
1100403,4036200,5812,2020,5
1100403,2487000,3590,2020,6
1100403,4186800,6154,2020,7
1100403,3662400,5369,2020,8
1100403,3455657,6291,2020,9
1100403,2202187,5745,2020,10
1100403,2900065,6040,2020,11
1100403,2685944,5929,2020,12
1100403,21900,20,2021,1
1100346,3033600,4340,2020,4
1100346,3486000,4891,2020,5
1100346,2287200,3188,2020,6
1100346,3508200,5059,2020,7
1100346,3114000,4462,2020,8
1100346,2598213,5027,2020,9
1100346,1704676,4637,2020,10
1100346,2183720,4801,2020,11
1100346,2030085,4722,2020,12
1100346,18600,20,2021,1
1100023,17503800,24338,2020,4
1100023,21965400,30206,2020,5
1100023,12191400,16774,2020,6
1100023,22747200,32121,2020,7
1100023,19879200,27961,2020,8
1100023,20703675,33414,2020,9
1100023,13154435,30011,2020,10
1100023,17392804,31658,2020,11
1100023,15983838,30807,2020,12
1100023,172500,150,2021,1
1100452,6449400,9451,2020,4
1100452,8074200,11538,2020,5
1100452,5122200,7481,2020,6
1100452,8374200,12367,2020,7
1100452,7589400,11177,2020,8
1100452,7342212,13011,2020,9
1100452,4892890,11866,2020,10
1100452,6367797,12492,2020,11
1100452,5708968,12285,2020,12
1100452,53100,50,2021,1
1100031,837000,1219,2020,4
1100031,1096200,1547,2020,5
1100031,636600,923,2020,6
1100031,1140000,1671,2020,7
1100031,994200,1457,2020,8
1100031,1056931,1767,2020,9
1100031,686642,1625,2020,10
1100031,882283,1694,2020,11
1100031,801061,1654,2020,12
1100031,15000,16,2021,1
1100601,874800,1314,2020,4
1100601,1030800,1519,2020,5
1100601,600600,897,2020,6
1100601,1069200,1606,2020,7
1100601,940800,1420,2020,8
1100601,905945,1654,2020,9
1100601,575413,1502,2020,10
1100601,763933,1584,2020,11
1100601,702732,1561,2020,12
1100601,5100,5,2021,1
1100049,13102200,18909,2020,4
1100049,16414200,23435,2020,5
1100049,9435600,13494,2020,6
